2018-12-09 00:16:29.242 [Thread-408] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6b9267b: startup date [Sat Dec 08 23:52:52 CST 2018]; root of context hierarchy
2018-12-09 00:16:36.725 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userClientMapper' and 'com.baomidou.springboot.im.mapper.UserClientMapper' mapperInterface. Bean already defined with the same name!
2018-12-09 00:16:36.726 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'permissionMapper' and 'com.baomidou.springboot.auth.mapper.PermissionMapper' mapperInterface. Bean already defined with the same name!
2018-12-09 00:16:36.726 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'roleMapper' and 'com.baomidou.springboot.auth.mapper.RoleMapper' mapperInterface. Bean already defined with the same name!
2018-12-09 00:16:36.726 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'rolePermissionMapper' and 'com.baomidou.springboot.auth.mapper.RolePermissionMapper' mapperInterface. Bean already defined with the same name!
2018-12-09 00:16:36.726 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userMapper' and 'com.baomidou.springboot.auth.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
2018-12-09 00:16:36.726 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userRoleMapper' and 'com.baomidou.springboot.auth.mapper.UserRoleMapper' mapperInterface. Bean already defined with the same name!
2018-12-09 00:16:36.726 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.baomidou.springboot.content.mapper, com.baomidou.springboot.im.mapper, com.baomidou.springboot.auth.mapper]' package. Please check your configuration.
2018-12-09 00:16:36.753 [main] INFO  o.s.b.factory.support.DefaultListableBeanFactory - Overriding bean definition for bean 'websocketContainerCustomizer' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.websocket.servlet.WebSocketServletAutoConfiguration$JettyWebSocketConfiguration; factoryMethodName=websocketContainerCustomizer; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/websocket/servlet/WebSocketServletAutoConfiguration$JettyWebSocketConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.websocket.servlet.WebSocketServletAutoConfiguration$TomcatWebSocketConfiguration; factoryMethodName=websocketContainerCustomizer; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/websocket/servlet/WebSocketServletAutoConfiguration$TomcatWebSocketConfiguration.class]]
2018-12-09 00:16:36.825 [main] INFO  o.s.b.factory.support.DefaultListableBeanFactory - Overriding bean definition for bean 'dataSource' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Generic; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Generic.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Hikari.class]]
2018-12-09 00:16:36.864 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2018-12-09 00:16:37.319 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$da34b8b2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-12-09 00:16:37.702 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2018-12-09 00:16:37.713 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2018-12-09 00:16:37.723 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2018-12-09 00:16:37.723 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.31
2018-12-09 00:16:37.728 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/lht/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2018-12-09 00:16:37.804 [localhost-startStop-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2018-12-09 00:16:37.805 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1679 ms
2018-12-09 00:16:37.915 [localhost-startStop-1] INFO  o.s.boot.web.servlet.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
2018-12-09 00:16:37.920 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2018-12-09 00:16:37.921 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-12-09 00:16:37.921 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-12-09 00:16:37.921 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2018-12-09 00:16:38.156 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2018-12-09 00:16:38.342 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2018-12-09 00:16:39.431 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-09 00:16:39.770 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@751e664e: startup date [Sun Dec 09 00:16:36 CST 2018]; root of context hierarchy
2018-12-09 00:16:39.869 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/update]}" onto public com.baomidou.springboot.response.ResponseMessage<java.lang.Boolean> com.baomidou.springboot.content.controller.ArticleController.update(com.baomidou.springboot.content.vo.ArticleVO,java.lang.Long)
2018-12-09 00:16:39.871 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/page],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage<com.baomidou.mybatisplus.core.metadata.IPage<com.baomidou.springboot.content.vo.ArticleVO>> com.baomidou.springboot.content.controller.ArticleController.page(java.lang.Integer,java.lang.Integer)
2018-12-09 00:16:39.871 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/getAll],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage<java.util.List<com.baomidou.springboot.content.vo.ArticleVO>> com.baomidou.springboot.content.controller.ArticleController.getAll()
2018-12-09 00:16:39.871 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/add],methods=[POST]}" onto public com.baomidou.springboot.response.ResponseMessage<java.lang.Boolean> com.baomidou.springboot.content.controller.ArticleController.addArticle(com.baomidou.springboot.content.entity.Article,java.lang.String)
2018-12-09 00:16:39.872 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/{id}]}" onto public com.baomidou.springboot.response.ResponseMessage<java.lang.Boolean> com.baomidou.springboot.content.controller.ArticleController.deleteById(java.lang.Long)
2018-12-09 00:16:39.873 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/get],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage<com.baomidou.springboot.content.vo.ArticleVO> com.baomidou.springboot.content.controller.ArticleController.getById(java.lang.Long)
2018-12-09 00:16:39.874 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/getByUser],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage<java.util.List<com.baomidou.springboot.content.vo.ArticleVO>> com.baomidou.springboot.content.controller.ArticleController.getByUser(java.lang.Long)
2018-12-09 00:16:39.875 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/like_title],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage<java.util.List<com.baomidou.springboot.content.vo.ArticleVO>> com.baomidou.springboot.content.controller.ArticleController.getArticleByWrapper(java.lang.String)
2018-12-09 00:16:39.876 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/page_helper],methods=[GET]}" onto public com.baomidou.mybatisplus.core.metadata.IPage com.baomidou.springboot.content.controller.ArticleController.pagehelper(com.baomidou.mybatisplus.extension.plugins.pagination.Page)
2018-12-09 00:16:39.876 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/test_transactional],methods=[GET]}" onto public void com.baomidou.springboot.content.controller.ArticleController.testTransactional(com.baomidou.springboot.content.vo.ArticleVO)
2018-12-09 00:16:39.879 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/comments/page],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage com.baomidou.springboot.content.controller.CommentsController.test(java.lang.Integer,java.lang.Integer)
2018-12-09 00:16:39.880 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/comments/getAll],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage<java.util.List<com.baomidou.springboot.content.vo.CommentsVO>> com.baomidou.springboot.content.controller.CommentsController.getAll(java.lang.Long)
2018-12-09 00:16:39.881 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/comments/{id}]}" onto public com.baomidou.springboot.response.ResponseMessage<java.lang.Boolean> com.baomidou.springboot.content.controller.CommentsController.deleteById(java.lang.Long)
2018-12-09 00:16:39.881 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/comments/add],methods=[POST]}" onto public com.baomidou.springboot.response.ResponseMessage<java.lang.Boolean> com.baomidou.springboot.content.controller.CommentsController.addComments(com.baomidou.springboot.content.entity.Comments)
2018-12-09 00:16:39.882 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/focus/getAll],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage<java.util.List<com.baomidou.springboot.auth.entity.User>> com.baomidou.springboot.content.controller.FocusUserController.getAll(java.lang.Long)
2018-12-09 00:16:39.883 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/love/getALl],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage<java.util.List<com.baomidou.springboot.content.vo.ArticleVO>> com.baomidou.springboot.content.controller.LoveArticleController.getAll(java.lang.Long)
2018-12-09 00:16:39.884 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article_photos/update]}" onto public com.baomidou.springboot.response.ResponseMessage com.baomidou.springboot.content.controller.PhotoArticleController.update(com.baomidou.springboot.content.entity.Photos)
2018-12-09 00:16:39.884 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article_photos/add]}" onto public com.baomidou.springboot.response.ResponseMessage com.baomidou.springboot.content.controller.PhotoArticleController.addPhotoByArticle(java.util.List<java.lang.String>,java.lang.Long)
2018-12-09 00:16:39.885 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article_video/update]}" onto public com.baomidou.springboot.response.ResponseMessage com.baomidou.springboot.content.controller.VideoArticleController.update(com.baomidou.springboot.content.entity.Video)
2018-12-09 00:16:39.885 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article_video/add]}" onto public com.baomidou.springboot.response.ResponseMessage com.baomidou.springboot.content.controller.VideoArticleController.addPhotoByArticle(com.baomidou.springboot.content.entity.Video)
2018-12-09 00:16:39.887 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/friend/{userId}],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage<java.util.List<com.baomidou.springboot.im.vo.FriendVO>> com.baomidou.springboot.im.controller.FriendController.getUsers(java.lang.String)
2018-12-09 00:16:39.888 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/groupuser/{userId}],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage<java.util.List<com.baomidou.springboot.im.vo.GroupUserVO>> com.baomidou.springboot.im.controller.GroupUserController.getGroups(java.lang.Long)
2018-12-09 00:16:39.891 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/userclient/login]}" onto public com.baomidou.springboot.response.ResponseMessage<com.baomidou.springboot.im.entity.UserClient> com.baomidou.springboot.im.controller.UserClientController.login(java.lang.String,java.lang.String)
2018-12-09 00:16:39.891 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/userclient/add],methods=[POST]}" onto public com.baomidou.springboot.response.ResponseMessage<java.lang.Boolean> com.baomidou.springboot.im.controller.UserClientController.login(com.baomidou.springboot.im.entity.UserClient)
2018-12-09 00:16:39.893 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/register]}" onto public com.baomidou.springboot.response.ResponseMessage com.baomidou.springboot.auth.controller.IndexController.reg(com.baomidou.springboot.auth.vo.UserVO)
2018-12-09 00:16:39.893 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/logout]}" onto public com.baomidou.springboot.response.ResponseMessage com.baomidou.springboot.auth.controller.IndexController.logout()
2018-12-09 00:16:39.893 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/login]}" onto public com.baomidou.springboot.response.ResponseMessage com.baomidou.springboot.auth.controller.IndexController.login(java.lang.String,java.lang.String,java.lang.String,java.lang.String)
2018-12-09 00:16:39.894 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/permission/get],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage<java.util.List<com.baomidou.springboot.auth.entity.Permission>> com.baomidou.springboot.auth.controller.PermissionController.get()
2018-12-09 00:16:39.895 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/role/get],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage<java.util.List<com.baomidou.springboot.auth.entity.Role>> com.baomidou.springboot.auth.controller.RoleController.get()
2018-12-09 00:16:39.898 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/role_permission/get],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage<java.util.List<com.baomidou.springboot.auth.entity.RolePermission>> com.baomidou.springboot.auth.controller.RolePermissionController.get(java.lang.Long)
2018-12-09 00:16:39.902 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/register]}" onto public com.baomidou.springboot.response.ResponseMessage com.baomidou.springboot.auth.controller.UserController.register(com.baomidou.springboot.auth.vo.UserVO)
2018-12-09 00:16:39.903 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/update]}" onto public com.baomidou.springboot.response.ResponseMessage<java.lang.Boolean> com.baomidou.springboot.auth.controller.UserController.update(com.baomidou.springboot.auth.vo.UserVO)
2018-12-09 00:16:39.904 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/page],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage com.baomidou.springboot.auth.controller.UserController.test(java.lang.Integer,java.lang.Integer)
2018-12-09 00:16:39.906 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/checkName]}" onto public com.baomidou.springboot.response.ResponseMessage com.baomidou.springboot.auth.controller.UserController.isName(java.lang.String)
2018-12-09 00:16:39.906 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/add],methods=[POST]}" onto public com.baomidou.springboot.response.ResponseMessage<java.lang.Boolean> com.baomidou.springboot.auth.controller.UserController.addUser(com.baomidou.springboot.auth.vo.UserVO)
2018-12-09 00:16:39.907 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/select_sql],methods=[GET]}" onto public java.lang.Object com.baomidou.springboot.auth.controller.UserController.getUserBySql()
2018-12-09 00:16:39.907 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/checkPhone]}" onto public com.baomidou.springboot.response.ResponseMessage com.baomidou.springboot.auth.controller.UserController.isPhone(java.lang.String)
2018-12-09 00:16:39.907 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/checkEmail]}" onto public com.baomidou.springboot.response.ResponseMessage com.baomidou.springboot.auth.controller.UserController.isEmail(java.lang.String)
2018-12-09 00:16:39.907 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/like_name],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage<java.util.List<com.baomidou.springboot.auth.vo.UserVO>> com.baomidou.springboot.auth.controller.UserController.getUserByWrapper(java.lang.String)
2018-12-09 00:16:39.908 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/{id}]}" onto public com.baomidou.springboot.response.ResponseMessage<java.lang.Boolean> com.baomidou.springboot.auth.controller.UserController.deleteById(java.lang.String)
2018-12-09 00:16:39.908 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/page_helper],methods=[GET]}" onto public com.baomidou.mybatisplus.core.metadata.IPage com.baomidou.springboot.auth.controller.UserController.pagehelper(com.baomidou.mybatisplus.extension.plugins.pagination.Page)
2018-12-09 00:16:39.908 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/test_transactional],methods=[GET]}" onto public void com.baomidou.springboot.auth.controller.UserController.testTransactional(com.baomidou.springboot.auth.entity.User)
2018-12-09 00:16:39.908 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/login]}" onto public com.baomidou.springboot.response.ResponseMessage com.baomidou.springboot.auth.controller.UserController.login(java.lang.String,java.lang.String)
2018-12-09 00:16:39.909 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user_role/getByUserId],methods=[GET]}" onto public com.baomidou.springboot.response.ResponseMessage<java.util.List<com.baomidou.springboot.auth.entity.UserRole>> com.baomidou.springboot.auth.controller.UserRoleController.get(java.lang.Long)
2018-12-09 00:16:39.914 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-12-09 00:16:39.915 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-12-09 00:16:39.957 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-09 00:16:39.957 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-09 00:16:40.378 [main] INFO  o.s.ui.freemarker.SpringTemplateLoader - SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@751e664e: startup date [Sun Dec 09 00:16:36 CST 2018]; root of context hierarchy] and template loader path [classpath:/templates/]
2018-12-09 00:16:40.379 [main] INFO  o.s.w.servlet.view.freemarker.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2018-12-09 00:16:40.648 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2018-12-09 00:16:40.651 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
2018-12-09 00:16:40.662 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource]
2018-12-09 00:16:40.680 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2018-12-09 00:16:40.690 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2018-12-09 00:16:40.709 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2018-12-09 00:16:40.714 [main] INFO  com.baomidou.springboot.Application - Started Application in 5.387 seconds (JVM running for 6.897)
2018-12-09 00:16:40.717 [main] INFO  com.baomidou.springboot.Application - PortalApplication is success!
2018-12-09 00:16:44.823 [tio-timer-checkheartbeat-1] INFO  org.tio.server.ServerGroupContext - null, 用户取消了框架层面的心跳检测，如果业务需要，请用户自己去完成心跳检测
2018-12-09 00:16:50.728 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
